id,home_team_win
812,0
813,1
814,1
815,0
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,0
844,1
845,1
846,1
847,1
848,1
849,0
850,1
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,0
884,1
885,1
886,0
887,0
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,0
897,1
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,0
910,1
911,1
912,1
913,0
914,1
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,0
948,1
949,0
950,1
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,0
966,1
967,0
968,1
969,0
970,1
971,1
972,1
973,0
974,0
975,1
976,0
977,1
978,1
979,0
980,1
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,0
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,1
1030,1
1031,1
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,0
1102,0
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,0
1132,1
1133,1
1134,1
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,0
1149,1
1150,1
1151,1
1152,1
1153,0
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,1
1164,1
1165,0
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,0
1181,0
1182,1
1183,1
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,0
1196,1
1197,1
1198,0
1199,0
1200,1
1201,1
1202,0
1203,0
1204,1
1205,1
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,0
1227,1
1228,1
1229,1
1230,1
1231,1
1232,0
1233,1
1234,1
1235,1
1236,0
1237,1
1238,1
1239,1
1240,0
1241,1
1242,1
1243,1
1244,0
1245,0
1246,1
1247,1
1248,0
1249,1
1250,1
1251,1
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,1
1260,0
1261,1
1262,0
1263,0
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,0
1278,1
1279,1
1280,1
1281,1
1282,0
1283,0
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,0
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,0
1313,0
1314,1
1315,0
1316,1
1317,1
1318,0
1319,1
1320,1
1321,1
1322,0
1323,1
1324,0
1325,1
1326,1
1327,1
1328,1
1329,0
1330,1
1331,1
1332,1
1333,1
1334,1
1335,0
1336,0
1337,0
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,0
1349,1
1350,1
1351,1
1352,1
1353,0
1354,1
1355,1
1356,0
1357,1
1358,1
1359,1
1360,1
1361,1
1362,0
1363,1
1364,0
1365,0
1366,1
1367,1
1368,0
1369,1
1370,0
1371,0
1372,1
1373,1
1374,1
1375,1
1376,0
1377,1
1378,0
1379,0
1380,0
1381,0
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,0
1390,1
1391,1
1392,1
1393,1
1394,0
1395,1
1396,0
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,0
1404,1
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,0
1413,1
1414,1
1415,1
1416,0
1417,1
1418,1
1419,1
1420,1
1421,0
1422,1
1423,1
1424,1
1425,0
1426,0
1427,1
1428,1
1429,0
1430,1
1431,0
1432,1
1433,1
1434,1
1435,0
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,0
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,0
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,0
1469,1
1470,1
1471,1
1472,1
1473,0
1474,0
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,0
1485,1
1486,0
1487,1
1488,1
1489,0
1490,0
1491,1
1492,1
1493,0
1494,0
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,0
1502,1
1503,0
1504,1
1505,1
1506,1
1507,1
1508,0
1509,1
1510,1
1511,1
1512,0
1513,0
1514,1
1515,1
1516,0
1517,1
1518,1
1519,0
1520,1
1521,0
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,0
1529,0
1530,0
1531,1
1532,1
1533,0
1534,0
1535,1
1536,1
1537,1
1538,0
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,0
1547,1
1548,0
1549,1
1550,0
1551,1
1552,1
1553,0
1554,1
1555,0
1556,0
1557,0
1558,1
1559,1
1560,0
1561,0
1562,1
1563,0
1564,0
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,0
1572,0
1573,1
1574,0
1575,0
1576,0
1577,1
1578,0
1579,1
1580,1
1581,1
1582,1
1583,0
1584,1
1585,1
1586,1
1587,1
1588,0
1589,1
1590,1
1591,1
1592,1
1593,0
1594,0
1595,1
1596,0
1597,1
1598,1
1599,1
1600,1
1601,0
1602,1
1603,1
1604,1
1605,0
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,0
1614,1
1615,1
1616,1
1617,1
1618,1
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,0
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,0
1643,1
1644,1
1645,0
1646,1
1647,1
1648,1
1649,1
1650,1
1651,0
1652,1
1653,1
1654,1
1655,0
1656,0
1657,1
1658,1
1659,0
1660,1
1661,1
1662,1
1663,1
1664,1
1665,0
1666,1
1667,1
1668,1
1669,1
1670,1
1671,0
1672,1
1673,1
1674,0
1675,0
1676,1
1677,1
1678,0
1679,1
1680,1
1681,0
1682,1
1683,1
1684,0
1685,0
1686,1
1687,1
1688,1
1689,0
1690,1
1691,1
1692,0
1693,1
1694,0
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,0
1707,1
1708,0
1709,1
1710,0
1711,1
1712,1
1713,0
1714,1
1715,0
1716,0
1717,0
1718,1
1719,1
1720,1
1721,1
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,1
1729,0
1730,1
1731,0
1732,0
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,0
1741,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,0
1749,0
1750,1
1751,0
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,0
1760,0
1761,1
1762,1
1763,0
1764,1
1765,0
1766,1
1767,1
1768,1
1769,0
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,0
1788,1
1789,1
1790,0
1791,1
1792,1
1793,0
1794,1
1795,1
1796,0
1797,1
1798,0
1799,0
1800,1
1801,1
1802,0
1803,1
1804,1
1805,0
1806,0
1807,1
1808,0
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,0
1816,1
1817,0
1818,1
1819,0
1820,0
1821,1
1822,0
1823,0
1824,0
1825,0
1826,1
1827,1
1828,0
1829,0
1830,1
1831,0
1832,1
1833,0
1834,1
1835,1
1836,1
1837,1
1838,0
1839,1
1840,1
1841,0
1842,0
1843,1
1844,1
1845,1
1846,1
1847,1
1848,0
1849,1
1850,0
1851,1
1852,0
1853,0
1854,1
1855,1
1856,0
1857,0
1858,0
1859,1
1860,1
1861,0
1862,1
1863,1
1864,1
1865,0
1866,1
1867,1
1868,1
1869,0
1870,0
1871,1
1872,1
1873,1
1874,1
1875,0
1876,1
1877,1
1878,1
1879,1
1880,0
1881,1
1882,1
1883,1
1884,1
1885,0
1886,0
1887,0
1888,1
1889,1
1890,0
1891,1
1892,0
1893,1
1894,1
1895,1
1896,1
1897,0
1898,1
1899,1
1900,1
1901,0
1902,1
1903,0
1904,0
1905,0
1906,1
1907,1
1908,1
1909,0
1910,1
1911,1
1912,0
1913,1
1914,1
1915,0
1916,1
1917,1
1918,1
1919,1
1920,1
1921,0
1922,0
1923,0
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,0
1933,1
1934,1
1935,1
1936,1
1937,0
1938,1
1939,0
1940,0
1941,1
1942,1
1943,1
1944,0
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,0
1952,0
1953,1
1954,1
1955,1
1956,1
1957,0
1958,1
1959,1
1960,1
1961,0
1962,0
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,0
1970,0
1971,1
1972,1
1973,1
1974,1
1975,0
1976,0
1977,1
1978,1
1979,0
1980,0
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,0
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,0
1998,1
1999,1
2000,1
2001,0
2002,1
2003,1
2004,1
2005,0
2006,1
2007,1
2008,1
2009,1
2010,1
2011,0
2012,0
2013,1
2014,1
2015,1
2016,1
2017,1
2018,0
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,0
2029,0
2030,1
2031,1
2032,0
2033,0
2034,1
2035,1
2036,1
2037,0
2038,1
2039,0
2040,1
2041,0
2042,1
2043,1
2044,1
2045,0
2046,1
2047,0
2048,0
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,0
2060,1
2061,0
2062,1
2063,0
2064,1
2065,0
2066,0
2067,1
2068,0
2069,1
2070,1
2071,1
2072,0
2073,1
2074,1
2075,1
2076,1
2077,1
2078,0
2079,0
2080,0
2081,0
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,0
2089,1
2090,1
2091,0
2092,1
2093,1
2094,0
2095,1
2096,1
2097,1
2098,0
2099,1
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,0
2107,1
2108,0
2109,1
2110,1
2111,1
2112,1
2113,1
2114,0
2115,1
2116,1
2117,1
2118,1
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,1
2126,1
2127,1
2128,1
2129,0
2130,1
2131,0
2132,1
2133,0
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,0
2143,1
2144,1
2145,1
2146,1
2147,0
2148,1
2149,1
2150,1
2151,1
2152,1
2153,0
2154,0
2155,1
2156,1
2157,0
2158,1
2159,1
2160,0
2161,1
2162,0
2163,1
2164,0
2165,1
2166,1
2167,0
2168,1
2169,1
2170,1
2171,1
2172,1
2173,0
2174,1
2175,1
2176,0
2177,0
2178,1
2179,1
2180,0
2181,0
2182,1
2183,1
2184,1
2185,1
2186,1
2187,0
2188,1
2189,1
2190,1
2191,1
2192,0
2193,1
2194,1
2195,1
2196,1
2197,0
2198,1
2199,0
2200,1
2201,1
2202,1
2203,1
2204,1
2205,0
2206,1
2207,1
2208,1
2209,0
2210,1
2211,0
2212,0
2213,1
2214,0
2215,1
2216,0
2217,0
2218,1
2219,0
2220,1
2221,0
2222,0
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,0
2236,1
2237,1
2238,1
2239,1
2240,1
2241,0
2242,1
2243,1
2244,0
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,0
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,0
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,0
2273,1
2274,1
2275,1
2276,0
2277,1
2278,1
2279,0
2280,1
2281,1
2282,1
2283,1
2284,1
2285,0
2286,1
2287,1
2288,0
2289,1
2290,0
2291,0
2292,1
2293,1
2294,0
2295,1
2296,1
2297,1
2298,1
2299,0
2300,0
2301,1
2302,0
2303,0
2304,0
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,0
2316,0
2317,0
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,0
2326,0
2327,0
2328,1
2329,0
2330,0
2331,0
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,0
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,0
2349,1
2350,0
2351,1
2352,1
2353,0
2354,0
2355,1
2356,1
2357,1
2358,0
2359,1
2360,0
2361,1
2362,0
2363,0
2364,1
2365,1
2366,1
2367,0
2368,0
2369,1
2370,1
2371,0
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,0
2380,1
2381,0
2382,1
2383,0
2384,1
2385,0
2386,1
2387,1
2388,0
2389,1
2390,0
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,0
2398,1
2399,1
2400,1
2401,0
2402,0
2403,0
2404,1
2405,1
2406,1
2407,0
2408,1
2409,1
2410,1
2411,1
2412,1
2413,0
2414,0
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,0
